Case ID,DeeplinkUrl,GerechtelijkProductType,InformatieNietGepubliceerdMessage,InterneUrl,IsInactief,Proceduresoorten,Publicatiedatum,PublicatiedatumDate,Publicatiestatus,Rechtsgebieden,RelatieVerwijzingen,Tekstfragment,Titel,TitelEmphasis,Uitspraakdatum,UitspraakdatumType,Vindplaatsen
ECLI-NL-GHAMS-2019-5043,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:GHAMS:2019:5043,uitspraak,De publicatie van de uitspraak staat gepland op 29-07-2020 om 11:58 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:GHAMS:2019:5043&showbutton=true&keyword=mensenhandel,0.0,['Hoger beroep'],29-07-2020,2020-07-29T11:58:28Z,gepubliceerd,['Strafrecht'],[],Mensenhandel.,"Gerechtshof Amsterdam, 12-04-2019, 23-004755-15",ECLI:NL:GHAMS:2019:5043,12-04-2019,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-RBDHA-2019-2335,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:RBDHA:2019:2335,uitspraak,De publicatie van de uitspraak staat gepland op 13-03-2019 om 13:34 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2019:2335&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - meervoudig'],13-03-2019,2019-03-13T13:34:46Z,gepubliceerd,['Strafrecht'],[],mensenhandel,"Rechtbank Den Haag, 13-03-2019, 09/767267-15",ECLI:NL:RBDHA:2019:2335,13-03-2019,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-RBDHA-2019-1119,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:RBDHA:2019:1119,uitspraak,De publicatie van de uitspraak staat gepland op 11-02-2019 om 15:38 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2019:1119&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - meervoudig'],11-02-2019,2019-02-11T15:38:00Z,gepubliceerd,['Strafrecht'],[],mensenhandel,"Rechtbank Den Haag, 11-02-2019, 09/842073-18, 09/852087-18, 09/777121-15",ECLI:NL:RBDHA:2019:1119,11-02-2019,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-GHARL-2019-11293,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:GHARL:2019:11293,uitspraak,De publicatie van de uitspraak staat gepland op 30-01-2020 om 11:24 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:GHARL:2019:11293&showbutton=true&keyword=mensenhandel,0.0,['Hoger beroep'],30-01-2020,2020-01-30T11:24:34Z,gepubliceerd,['Strafrecht'],[],Mensenhandel.,"Gerechtshof Arnhem-Leeuwarden, 16-01-2019, 21-006359-15",ECLI:NL:GHARL:2019:11293,16-01-2019,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-OGEAC-2017-270,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:OGEAC:2017:270,uitspraak,De publicatie van de uitspraak staat gepland op 24-07-2018 om 17:08 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:OGEAC:2017:270&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - enkelvoudig'],24-07-2018,2018-07-24T17:08:14Z,gepubliceerd,['Strafrecht'],[],mensenhandel,"Gerecht in eerste aanleg van Curaçao, 20-10-2017, 500.00460/16",ECLI:NL:OGEAC:2017:270,20-10-2017,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-GHARL-2017-11548,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:GHARL:2017:11548,uitspraak,De publicatie van de uitspraak staat gepland op 29-01-2020 om 17:01 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:GHARL:2017:11548&showbutton=true&keyword=mensenhandel,0.0,['Hoger beroep'],29-01-2020,2020-01-29T17:01:25Z,gepubliceerd,['Strafrecht'],[],Mensenhandel.,"Gerechtshof Arnhem-Leeuwarden, 22-08-2017, 21-002976-12",ECLI:NL:GHARL:2017:11548,22-08-2017,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-GHAMS-2015-4399,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:GHAMS:2015:4399,uitspraak,De publicatie van de uitspraak staat gepland op 31-07-2018 om 15:34 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:GHAMS:2015:4399&showbutton=true&keyword=mensenhandel,0.0,['Hoger beroep'],31-07-2018,2018-07-31T15:34:47Z,gepubliceerd,['Strafrecht'],[],Mensenhandel,"Gerechtshof Amsterdam, 15-09-2015, 23-001201-14",ECLI:NL:GHAMS:2015:4399,15-09-2015,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-RBMNE-2015-2956,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:RBMNE:2015:2956,uitspraak,De publicatie van de uitspraak staat gepland op 27-05-2015 om 13:25 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBMNE:2015:2956&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - meervoudig'],27-05-2015,2015-05-27T13:25:06Z,gepubliceerd,['Strafrecht'],[],mensenhandel,"Rechtbank Midden-Nederland, 24-04-2015, 16.700309-14 (P)",ECLI:NL:RBMNE:2015:2956,24-04-2015,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-GHARL-2014-9417,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:GHARL:2014:9417,uitspraak,De publicatie van de uitspraak staat gepland op 17-12-2014 om 11:49 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:GHARL:2014:9417&showbutton=true&keyword=mensenhandel,0.0,['Hoger beroep'],17-12-2014,2014-12-17T11:49:20Z,gepubliceerd,['Strafrecht'],"[{'RelatieOmschrijving': 'Eerste aanleg: ', 'LinkTekst': 'ECLI:NL:RBGEL:2013:3276', 'Postfix': ', Meerdere afhandelingswijzen', 'WebAdres': 'https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBGEL:2013:3276&showbutton=true&keyword=mensenhandel'}, {'RelatieOmschrijving': 'Cassatie: ', 'LinkTekst': 'ECLI:NL:HR:2016:529', 'Postfix': ', (Gedeeltelijke) vernietiging met terugwijzen', 'WebAdres': 'https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:HR:2016:529&showbutton=true&keyword=mensenhandel'}]",Mensenhandel.,"Gerechtshof Arnhem-Leeuwarden, 04-12-2014, 21-007629-13",ECLI:NL:GHARL:2014:9417,04-12-2014,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-RBAMS-2014-4619,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:RBAMS:2014:4619,uitspraak,De publicatie van de uitspraak staat gepland op 04-09-2014 om 13:45 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBAMS:2014:4619&showbutton=true&keyword=mensenhandel,0.0,"['Eerste aanleg - meervoudig', 'Mondelinge uitspraak']",04-09-2014,2014-09-04T13:45:06Z,gepubliceerd,['Strafrecht'],[],Mensenhandel,"Rechtbank Amsterdam, 28-07-2014, 13.730004-14",ECLI:NL:RBAMS:2014:4619,28-07-2014,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-GHSHE-2019-4056,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:GHSHE:2019:4056,uitspraak,De publicatie van de uitspraak staat gepland op 05-11-2019 om 11:22 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:GHSHE:2019:4056&showbutton=true&keyword=mensenhandel,0.0,['Hoger beroep'],05-11-2019,2019-11-05T11:22:51Z,gepubliceerd,['Strafrecht'],"[{'RelatieOmschrijving': 'Eerste aanleg: ', 'LinkTekst': 'ECLI:NL:RBZWB:2016:8714', 'Postfix': ', Bekrachtiging/bevestiging', 'WebAdres': 'https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBZWB:2016:8714&showbutton=true&keyword=mensenhandel'}]",Vrijspraak van mensenhandel. Verdachte wordt vrijgesproken van mensenhandel. Het hof acht niet wettig en overtuigend bewezen dat sprake is geweest van (het oogmerk van) uitbuiting.,"Gerechtshof 's-Hertogenbosch, 05-11-2019, 20-002033-16",ECLI:NL:GHSHE:2019:4056,05-11-2019,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-RBAMS-2019-9019,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:RBAMS:2019:9019,uitspraak,De publicatie van de uitspraak staat gepland op 10-12-2019 om 09:37 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBAMS:2019:9019&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - meervoudig'],10-12-2019,2019-12-10T09:37:08Z,gepubliceerd,['Strafrecht'],[],ontneming mensenhandel,"Rechtbank Amsterdam, 24-10-2019, 13/728089-13",ECLI:NL:RBAMS:2019:9019,24-10-2019,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-OGEAC-2019-156,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:OGEAC:2019:156,uitspraak,De publicatie van de uitspraak staat gepland op 02-08-2019 om 15:36 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:OGEAC:2019:156&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - enkelvoudig'],02-08-2019,2019-08-02T15:36:39Z,gepubliceerd,['Strafrecht'],[],"mensenhandel, -smokkel","Gerecht in eerste aanleg van Curaçao, 19-06-2019, 500.00309/198",ECLI:NL:OGEAC:2019:156,19-06-2019,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-OGEAC-2019-157,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:OGEAC:2019:157,uitspraak,De publicatie van de uitspraak staat gepland op 02-08-2019 om 15:38 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:OGEAC:2019:157&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - enkelvoudig'],02-08-2019,2019-08-02T15:38:09Z,gepubliceerd,['Strafrecht'],[],"mensenhandel, -smokkel","Gerecht in eerste aanleg van Curaçao, 19-06-2019, 500.00314/18 en 500.00167/19",ECLI:NL:OGEAC:2019:157,19-06-2019,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-OGEAC-2019-158,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:OGEAC:2019:158,uitspraak,De publicatie van de uitspraak staat gepland op 02-08-2019 om 15:40 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:OGEAC:2019:158&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - enkelvoudig'],02-08-2019,2019-08-02T15:40:09Z,gepubliceerd,['Strafrecht'],[],medeplich. mensenhandel,"Gerecht in eerste aanleg van Curaçao, 19-06-2019, 500.00394/198",ECLI:NL:OGEAC:2019:158,19-06-2019,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-OGEAC-2019-154,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:OGEAC:2019:154,uitspraak,De publicatie van de uitspraak staat gepland op 02-08-2019 om 15:23 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:OGEAC:2019:154&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - enkelvoudig'],02-08-2019,2019-08-02T15:23:40Z,gepubliceerd,['Strafrecht'],[],medeplich. mensenhandel,"Gerecht in eerste aanleg van Curaçao, 19-06-2019, 500.00098/19",ECLI:NL:OGEAC:2019:154,19-06-2019,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-OGEAC-2019-155,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:OGEAC:2019:155,uitspraak,De publicatie van de uitspraak staat gepland op 02-08-2019 om 15:34 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:OGEAC:2019:155&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - enkelvoudig'],02-08-2019,2019-08-02T15:34:39Z,gepubliceerd,['Strafrecht'],[],"mensenhandel, -smokkel","Gerecht in eerste aanleg van Curaçao, 19-06-2019, 500.00308/198",ECLI:NL:OGEAC:2019:155,19-06-2019,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-RBNHO-2018-11903,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:RBNHO:2018:11903,uitspraak,De publicatie van de uitspraak staat gepland op 24-03-2020 om 12:05 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBNHO:2018:11903&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - meervoudig'],24-03-2020,2020-03-24T12:05:47Z,gepubliceerd,['Strafrecht'],[],vrijspraak mensenhandel.,"Rechtbank Noord-Holland, 06-07-2018, 15/810185-16",ECLI:NL:RBNHO:2018:11903,06-07-2018,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-RBNHO-2018-11901,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:RBNHO:2018:11901,uitspraak,De publicatie van de uitspraak staat gepland op 20-03-2020 om 11:04 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBNHO:2018:11901&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - meervoudig'],20-03-2020,2020-03-20T11:04:34Z,gepubliceerd,['Strafrecht'],[],Vrijspraak mensenhandel,"Rechtbank Noord-Holland, 03-05-2018, 15/710002-18",ECLI:NL:RBNHO:2018:11901,03-05-2018,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-RBNHO-2018-11902,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:RBNHO:2018:11902,uitspraak,De publicatie van de uitspraak staat gepland op 20-03-2020 om 11:30 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBNHO:2018:11902&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - meervoudig'],20-03-2020,2020-03-20T11:30:35Z,gepubliceerd,['Strafrecht'],[],Veroordeling mensenhandel,"Rechtbank Noord-Holland, 03-05-2018, 15/870949-17",ECLI:NL:RBNHO:2018:11902,03-05-2018,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-OGEAC-2017-271,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:OGEAC:2017:271,uitspraak,De publicatie van de uitspraak staat gepland op 24-07-2018 om 17:12 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:OGEAC:2017:271&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - enkelvoudig'],24-07-2018,2018-07-24T17:12:14Z,gepubliceerd,['Strafrecht'],[],"mensenhandel, bedreiging","Gerecht in eerste aanleg van Curaçao, 20-10-2017, 500.00459/16",ECLI:NL:OGEAC:2017:271,20-10-2017,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-RBLIM-2017-7499,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:RBLIM:2017:7499,uitspraak,De publicatie van de uitspraak staat gepland op 01-08-2017 om 11:58 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBLIM:2017:7499&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - meervoudig'],01-08-2017,2017-08-01T11:58:20Z,gepubliceerd,['Strafrecht'],[],vrijspraak mensenhandel,"Rechtbank Limburg, 28-07-2017, 03/703157-12",ECLI:NL:RBLIM:2017:7499,28-07-2017,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-RBMNE-2015-5690,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:RBMNE:2015:5690,uitspraak,De publicatie van de uitspraak staat gepland op 17-08-2015 om 09:33 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBMNE:2015:5690&showbutton=true&keyword=mensenhandel,0.0,"['Eerste aanleg - meervoudig', 'Op tegenspraak']",17-08-2015,2015-08-17T09:33:05Z,gepubliceerd,['Strafrecht'],[],vrijspraak mensenhandel,"Rechtbank Midden-Nederland, 14-07-2015, 16-994267-14 (P)",ECLI:NL:RBMNE:2015:5690,14-07-2015,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
ECLI-NL-RBLIM-2015-4965,http://deeplink.rechtspraak.nl/uitspraak?id=ECLI:NL:RBLIM:2015:4965,uitspraak,De publicatie van de uitspraak staat gepland op 12-06-2015 om 17:08 uur,https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBLIM:2015:4965&showbutton=true&keyword=mensenhandel,0.0,['Eerste aanleg - meervoudig'],12-06-2015,2015-06-12T17:08:21Z,gepubliceerd,['Strafrecht'],[],Vrijspraak mensenhandel.,"Rechtbank Limburg, 12-06-2015, 03/720885-15",ECLI:NL:RBLIM:2015:4965,12-06-2015,uitspraak,"[{'Vindplaats': 'Rechtspraak.nl', 'VindplaatsAnnotator': '', 'VindplaatsUrl': ''}]"
