;country;2011 population;2012 population;2013 population;2014 population;2015 population;2016 population;2017 population;2011 mean;2012 mean;2013 mean;2014 mean;2015 mean;2016 mean;2017 mean;2011 min;2012 min;2013 min;2014 min;2015 min;2016 min;2017 min;2011 max;2012 max;2013 max;2014 max;2015 max;2016 max;2017 max;2011 sd;2012 sd;2013 sd;2014 sd;2015 sd;2016 sd;2017 sd
Athens;GR;;;3700000;3700000;3700000;3700000;3700000;;;3.354423089;4.259030683;3.205823036;1.60379778;1.800829143;;;2.767300903;3.271984206;2.250689707;1.175250894;1.567990059;;;3.869031925;5.474566173;4.376270313;2.193526082;2.450014095;;;0.378887877;0.795041824;0.779585305;0.401324775;0.315642484
Mytilene;GR;;;;;26000;;;;;;;0.131055154;;;;;;;0.015109347;;;;;;;0.368081113;;;;;;;0.126307266;;
Thessaloniki;GR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zagreb;HR;650000;650000;650000;650000;650000;650000;650000;2.746175203;3.515848596;3.83900585;4.201730903;9.073674378;12.01839749;12.3304706;1.912393185;2.500297521;2.81744194;2.963622027;5.377747194;6.961406203;9.113660629;3.605199042;5.523924535;5.658868133;6.549465054;13.48185001;19.80617997;16.83044504;0.63576704;1.264373279;1.211796694;1.335624668;3.226506552;4.921585459;3.148908727
Tel-Aviv;IL;;;;;;2500000;;;;;;;1.700542437;;;;;;;0.798245858;;;;;;;2.639506054;;;;;;;0.584607903;
Reykjavik (2);IS;;;;;;186000;184292;;;;;;13.49300587;22.51912664;;;;;;10.21860096;16.45387191;;;;;;19.59801733;29.1672775;;;;;;3.072790956;4.573777074
Reykjavik N;IS;;;;;93000;93000;97168;;;;;12.84244827;12.01582275;26.73726107;;;;;10.79501301;6.845723878;19.60184044;;;;;16.85305538;15.23555791;35.42617608;;;;;2.051745245;2.79574642;5.518768742
Bari;IT;;;;;;;459650;;;;;;;6.020397274;;;;;;;2.858138206;;;;;;;9.823846133;;;;;;;2.05776509
Bologna;IT;;;;;;;5.00E+05;;;;;;;12.62735749;;;;;;;0.921277024;;;;;;;18.24011564;;;;;;;5.85062424
Gorizia;IT;;;;;;;34844;;;;;;;2.765368416;;;;;;;1.622393858;;;;;;;4.043641994;;;;;;;0.907959009
Milan;IT;1250000;1100000;1149477;1122501;1122501;1140000;1080000;11.88627994;9.546397932;8.867013526;7.894853998;8.327076692;11.85851855;12.92213176;9.840560944;7.528453701;6.669507446;7.395212994;6.847690612;10.13999444;11.01852782;15.28097044;11.49537782;11.08515477;8.620607392;11.8891765;13.3214016;15.77601749;1.950616655;1.474581676;1.759743482;0.518271202;1.686939572;1.288949604;1.970336024
Palermo;IT;;;;;;;360000;;;;;;;5.372483041;;;;;;;3.509029509;;;;;;;7.874903597;;;;;;;1.451567208
Potenza;IT;;;;;;;90000;;;;;;;3.589779385;;;;;;;1.374852481;;;;;;;6.451451242;;;;;;;1.840524259
Busan;KR;;;;;1164950;;;;;;;0.656253834;;;;;;;0.406137314;;;;;;;0.864700841;;;;;;;0.141253794;;
Bendern;LI;;;;37000;37000;;;;;;8.115944572;7.982902627;;;;;;5.27962787;6.009935755;;;;;;11.36574697;16.32321029;;;;;;1.85721877;3.700349304;;
Vilnius;LT;;;;;;;545280;;;;;;;4.615523549;;;;;;;3.638815988;;;;;;;6.625268052;;;;;;;1.293511912
Malta;MT;;;;;296297;;;;;;;5.767600682;;;;;;;1.392942575;;;;;;;22.5711061;;;;;;;7.452175581;;
Amsterdam;NL;694800;769000;769000;769000;769000;;769000;33.38428733;29.59776154;22.24207523;37.48718914;34.00632327;;44.07781064;28.54498725;20.59185459;16.45780761;32.48602104;12.63997642;;37.47751396;36.2224381;46.5000959;37.08674066;46.22694445;52.77347202;;56.58061533;3.330699368;8.554343311;7.23158174;4.591398642;14.47216135;;6.471837393
Eindhoven;NL;448700;450300;450300;450300;450300;450300;450300;187.5184727;100.4461125;98.66579172;438.1418481;51.13577014;535.2475246;37.76550767;23.2334329;32.2063429;39.97450167;27.45462231;6.294665973;54.3887317;29.56653117;545.4169639;347.5998752;203.4803622;2092.231767;145.8233415;1852.054204;64.14825215;216.722988;111.5925491;63.95157448;822.3659952;50.83906433;678.1614366;12.84372092
Nieuwegein Ijssel.;NL;;;;;;;96000;;;;;;;18.04387404;;;;;;;13.99614585;;;;;;;23.56703148;;;;;;;3.505952154
Oudewater;NL;;;;;;;10110;;;;;;;23.43358582;;;;;;;18.66037459;;;;;;;32.76470864;;;;;;;5.22118316
Utrecht;NL;297000;3.00E+05;3.00E+05;3.00E+05;3.00E+05;3.00E+05;3.00E+05;44.75754416;22.21186058;13.41661773;17.88395285;10.0885182;20.50953521;17.16822711;27.19309689;15.04224706;8.600569026;11.48868233;4.948125066;15.07266469;14.30506111;71.43712136;34.64427552;20.65194693;25.76113067;15.91998101;27.84314576;20.3155478;14.4518239;6.858331882;4.540869046;5.563782004;3.911973985;4.600419122;2.32899506
Oslo;NO;557000;557000;576000;580639;580639;580639;580639;14.50931056;17.07736689;11.65071931;24.67220463;22.30577065;18.43531561;12.24426061;11.07092565;11.30637736;7.445900143;16.74072149;16.67437525;16.09681491;9.899292772;18.16438891;23.4412958;15.70255265;32.67587624;32.45635024;23.44437499;17.20350223;2.563899167;5.25680477;3.214880333;5.219417437;5.690790987;3.16513178;2.998742897
Auckland (2);NZ;;;;;1332000;;;;;;;7.181686429;;;;;;;5.004835214;;;;;;;9.216736401;;;;;;;1.416996991;;
Krakow (2);PL;;;;;;930000;930000;;;;;;2.455305881;1.927862679;;;;;;1.789314118;1.468932867;;;;;;3.889747923;2.30424097;;;;;;0.650422833;0.293145878
Almada;PT;;;;138685;138685;138685;138685;;;;2.043585754;2.651927057;2.603148137;3.47158559;;;;1.62143405;1.885153987;0.992454878;0.773241681;;;;2.593092261;4.028336824;3.624596136;5.29516205;;;;0.384248628;0.739317202;0.85619969;1.39264536
Lisbon;PT;;;426964;;426964;426964;426964;;;4.044145118;;10.67271883;10.62684822;11.60666658;;;3.329117639;;8.718653791;8.755840565;10.24692074;;;5.115448522;;14.17333532;13.10736732;14.90343977;;;0.654379077;;1.995783901;1.674201519;1.763661352
Porto;PT;;;;;150000;150000;150000;;;;;3.78917671;3.756457639;6.246177055;;;;;2.568447822;2.395540136;5.021140994;;;;;5.96000198;5.308296546;7.353074404;;;;;1.105953684;1.001357651;0.905360225
Alba Iulia;RO;;;;;;63000;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;
Cluj Napoca;RO;;;350000;;;360000;;;;0;;;0.366030793;;;;;;;0.210752688;;;;;;;0.547648845;;;;;;;0.127750095;
Beograd;RS;;;;;;5.00E+05;;;;;;;1.946831879;;;;;;;1.143593118;;;;;;;3.545122065;;;;;;;0.776240155;
Novi Sad;RS;;;321282;;;;;;;2.306853236;;;;;;;1.653492798;;;;;;;3.457731977;;;;;;;0.604351335;;;;
Gothenburg;SE;0;664441;664441;;;;;;8.18857657;13.31304017;;;;;;6.951479197;8.673079981;;;;;;9.492317027;16.01406994;;;;;;1.029033842;2.496334064;;;;
Stockholm (2);SE;;;;;;784000;;;;;;;19.64166483;;;;;;;16.357111;;;;;;;24.95902639;;;;;;;3.012117719;
Stockholm H;SE;315000;;;;;326000;;4.032666695;;;;;22.27547685;;2.719725165;;;;;17.21605564;;6.299074716;;;;;31.42833341;;1.359361627;;;;;5.023585213;
Stockholm S;SE;;;;;;458000;;;;;;;17.76694274;;;;;;;13.41571799;;;;;;;22.45315568;;;;;;;2.960322898;
Umeå;SE;115800;115800;115800;;;;;1.005327806;0.045812026;2.047526846;;;;;0.629224631;0.031474636;0.992272179;;;;;1.46763043;0.065256161;3.001392835;;;;;0.313111489;0.012003666;0.695843302;;;;
Ljubljana;SI;;;;;;;266131;;;;;;;19.65961457;;;;;;;15.47942704;;;;;;;26.81826558;;;;;;;3.75660843
Bratislava (2);SK;;;440000;;470000;470000;6.00E+05;;;10.52471347;;11.4094263;40.38191241;11.11713551;;;7.707683745;;8.491479644;30.68712173;7.66876591;;;12.66639213;;15.16483432;48.01874422;14.923735;;;1.729226181;;2.460636756;6.19615258;2.910352638
Piestany;SK;;;30000;;30000;30000;30000;;;6.932200792;;7.949458917;18.01827438;4.250740577;;;6.022275477;;3.831719203;10.76265248;3.324230659;;;9.143217453;;10.9345358;27.36211968;4.841700893;;;1.067416563;;2.865344399;5.561818663;0.534148346
Uzhhorod;UA;;;;;;116200;;;;;;;1.209600217;;;;;;;1.02136573;;;;;;;1.531092584;;;;;;;0.235109571;
Seattle;US;0;;;;893000;893000;893000;;;;;29.15794714;32.75011027;58.67599461;;;;;24.40200972;21.48694765;47.20623112;;;;;33.92626061;51.23989133;75.39776984;;;;;3.294706595;9.984977671;11.30463155
